transaction_id,user_id,transaction_amount,transaction_time,location,fraud_label
101,1,5000,2024-08-28 10:15:00,New York,0
102,1,12000,2024-08-28 10:30:00,New York,0
103,2,15000,2024-08-28 11:00:00,Los Angeles,1
104,3,2000,2024-08-28 12:30:00,New York,0
105,4,7500,2024-08-28 13:45:00,Houston,0
106,5,12000,2024-08-28 14:10:00,Phoenix,1
107,4,25000,2024-08-29 12:45:00,Houston,1
108,5,4000,2024-08-29 13:55:00,New York,0
109,4,25000,2024-08-29 12:45:00,Houston,1
110,5,4000,2024-08-29 13:55:00,Phoenix,0
